46,"코스피 1만 넥스트 레벨 (전 국민 주주 시대, 박시동의 실전 투자 비법)",박시동,19800,지와인
47,"최고의 주식 최적의 타이밍 (개정판, 윌리엄 오닐의 실전 투자 전략)",윌리엄 J. 오닐,17820,굿모닝북스
48,투자의 배신 (월가의 전설 켄 피셔가 폭로하는 주식시장의 거짓말),켄 피셔^라라 호프만스,17820,길벗
49,주식시장은 어떻게 반복되는가 (역사에서 배우는 켄 피셔의 백전불태 투자 전략),켄 피셔^라라 호프만스,16200,에프엔미디어
50,투자에 대한 생각 (월스트리트가 가장 신뢰한 하워드 막스의 20가지 투자 철학),하워드 막스,13500,비즈니스맵
51,"주식하는 마음 (주식투자의 운과 실력, 결국은 마음이다!)",홍진채,19800,다산북스
52,트레이딩의 전설 (실전투자대회 수상자 9인을 만나다),키움증권 채널K,15300,넥스트씨
53,보글헤드 쓰리펀드 포트폴리오 (단 3개의 ETF로 충분하다!),테일러 래리모어,16200,빈티지하우스
54,"인생을 바꾸는 최고의 ETF (괜찮은 ETF 투자하고, 나가서 운동합니다)",잼투리,22050,거인의정원
55,ETF 첫걸음 (주식보다 똑똑한 투자의 정답),조진우(CFA)^김성천(Ph.D.),20700,한스미디어
56,빅 트레이더의 주도주 매매법 (지금 가장 뜨거운 종목에 투자하라!),서희파더(이재상),28350,이레미디어
57,투자는 심리게임이다(25주년 특별 기념판) (’코스톨라니의 말’ 30일 필사 노트 특별 수록),앙드레 코스톨라니,16200,미래의창
58,"피터 린치의 투자 이야기(큰글자책) (월가의 영웅, 피터 린치의 개인 투자자를 위한 주식·펀드 투자)",피터 린치^존 로스차일드,37800,흐름출판
59,초보자를 단숨에 고수로 만드는 주식투자 핵심 수업 (슈퍼개미 이세무사 따라 텐베거 잡기),이정윤,22500,이레미디어
60,주린이도 술술 읽는 친절한 주식책 (완전 개정증보판),최정희^이슬기,16200,메이트북스
61,"해외선물 처음공부 (단돈 100만 원으로 달러, 금, 오일, 나스닥선물을 시작할 수 있는)",김직선,22500,이레미디어
62,내 월급을 자산으로 바꾸는 ETF 투자의 기술 (내 월급을 자산으로 바꾸는),최창윤,18000,원앤원북스
63,퀀트 투자의 기초 (펀더멘털 투자자를 위한 퀀트 가이드),지우세페 팔레올로고,22320,비지니스101
64,거인의 어깨 위에서 올바르게 투자하라 (어디서나 통하는 초수익 투자법부터 작전주 함정 분석까지),올투(올바른 투자),22050,동양북스
65,플스포의 메타인지 투자법 (잃지 않는 초수익 투자의 모든 것),플스포(김동호),19800,한국경제신문
66,"주도주 투자 수익의 정석 (20년간 연간소실 0원, 국가대표 프랍 트레이더의 완벽한 ’손익비’ 전략)",김진,18900,체인지업
67,미국주식 슈퍼 2등 전쟁 (폭발적 수익을 끌어내는 미국 주식 투자 전략),윤진호^신년기,19800,타인의취향
68,한 권으로 끝내는 미국 ETF 투자 (처음부터 제대로 배우는 미국 ETF 투자 공식),이을수,20700,한국경제신문
69,데이 스윙 트레이딩 바이블 (스윙 트레이딩’ 창안자의 실전 도구와 기법),올리버 벨레즈^그렉 캐프라,24300,이레미디어
70,"피터 린치의 이기는 투자(큰글자책) (월가의 영웅, 피터 린치의 개인 투자자를 위한 주식·펀드 투자)",피터 린치^존 로스차일드,43200,흐름출판
71,금융시장의 기술적 분석,존 J.머피,35154,국일증권경제연구소
72,3분봉 매매의 기술 (’상대적 저가’에서 매수해 확실하게 수익내는),오버솔드,26100,원앤원북스
73,개미 목사의 주식투자 첫걸음 (누구나 따라 하는 크리스천 금융문맹 탈출 대작전),장일,16200,사자와어린양
74,[그래제본소] 벤저민 그레이엄의 증권분석 (개정 제7판),벤저민 그레이엄^데이비드 도드,41013,비즈니스북스
75,"한국의 미래 (거대한 변곡점, 마지막 부의 기회를 잡아라)",박석중,19800,페이지2북스
76,실전 투자강의 (22주년 기념 양장 특별판),앙드레 코스톨라니,15300,미래의창
77,거버넌스 트렌드 인사이트 2026 (숫자보다 중요한 구조의 변화),천준범,17100,이스터에그
78,오늘 시작해도 늦지 않은 주식 공부,곽유정,18000,원앤원북스
79,"언제 매도할 것인가 (이익매도, 손절매도, 공매도, 선물매도 알렉산더 엘더가 알려주는 매도의 모든 것)",알렉산더 엘더,24300,이레미디어
80,주식시장을 이기는 작은 책 (어떤 시장에서도 흔들리지 않는  마법의 투자 공식),조엘 그린블라트,19800,다산북스
81,장우석의 미국주식 투자법 (대한민국 No.1 미국주식 멘토’ 미주미’),장우석^김준형,22599,베가북스
